origin               destination        
Admiralty            Admiralty                344.5
                     Bedok                   1469.0
                     Esplanade               1480.5
                     Holland Village         1503.5
                     Dhoby Ghaut NSEW        1571.0
                     Downtown                1576.0
                     Bugis DTL               1586.0
                     Tanjong Pagar           1588.0
                     Raffles Place           1594.0
                     Tanah Merah             1595.5
                     Buona Vista CCL         1600.0
                     Sixth Avenue            1617.0
                     Telok Ayer              1617.5
                     Outram Park NEL         1620.0
                     Bras Basah              1653.0
                     Somerset                1668.0
                     Simei                   1670.0
                     Orchard                 1682.0
                     one-north               1691.0
                     Dhoby Ghaut NEL         1702.0
                     King Albert Park        1711.0
                     Kent Ridge              1837.5
                     Dover                   1931.0
                     Haw Par Villa           1931.0
                     Expo NSEW               1969.0
                     Pasir Ris               2005.0
                     Pasir Panjang           2028.0
                     Sembawang               2041.5
                     Clementi                2070.5
                     Chinatown NEL           2108.0
                     HarbourFront CCL        2122.0
                     Labrador Park           2246.0
                     Jurong East             2342.5
                     Woodlands               2575.0
                     Chinese Garden          2657.0
                     Kranji                  2847.0
                     Pioneer                 2956.0
                     Boon Lay                3012.0
                     Bukit Batok             3197.0
Bayfront CCL         Bayfront CCL              19.0
                     Downtown                 259.5
                     Telok Ayer               379.0
                     Chinatown NEL            432.5
                     Bugis DTL                435.0
                     Nicoll Highway           448.0
                     Promenade                451.0
                     Chinatown DTL            483.0
                     Rochor                   597.5
                     Little India DTL         669.0
                     Stadium                  702.0
                     Mountbatten              768.0
                     Bugis NSEW               770.5
                     Esplanade                787.0
                     Lavender                 803.0
                     Newton DTL               810.5
                     Little India NEL         824.0
                     Tanjong Pagar            825.0
                     Stevens                  903.0
                     Dakota                   930.0
                     Kallang                  947.5
                     Outram Park NEL          951.0
                     HarbourFront NEL         992.0
                     Paya Lebar CCL          1062.0
                     Aljunied                1071.0
                     Raffles Place           1084.0
                     HarbourFront CCL        1099.5
                     Botanic Gardens CCL     1154.0
                     Dhoby Ghaut NEL         1160.5
                     Farrer Park             1161.0
                     Boon Keng               1163.0
                     Tiong Bahru             1182.5
                     Bras Basah              1230.0
                     MacPherson CCL          1286.0
                     Orchard                 1301.5
                     Potong Pasir            1379.0
                     Novena                  1419.0
                     Eunos                   1491.0
                     Beauty World            1549.0
                     Kembangan               1573.0
                     Serangoon CCL           1594.0
                     Dover                   1627.0
                     Bedok                   1640.0
                     Queenstown              1641.0
                     Lorong Chuan            1730.0
                     Toa Payoh               1737.0
                     Kent Ridge              1888.0
                     Hougang                 1890.5
                     Bukit Panjang DTL       1943.0
                     Simei                   2086.0
                     Buangkok                2087.0
                     Clementi                2177.0
                     Punggol                 2255.0
                     Sengkang                2289.5
                     Tampines NSEW           2332.0
                     Ang Mo Kio              2487.0
                     Pioneer                 2604.0
                     Khatib                  2690.0
                     Renjong                 2702.0
                     Yishun                  2710.0
                     Tongkang                2714.0
                     Pasir Ris               2735.0
                     Coral Edge              2745.0
                     Jurong East             2794.0
                     Boon Lay                2837.5
                     Lakeside                2940.0
                     Changi Airport          3004.0
                     Chinese Garden          3038.5
                     Admiralty               3111.0
                     Joo Koon                3209.5
                     Fernvale                3503.0
                     Yew Tee                 3513.0
                     Choa Chu Kang           3911.0
                     Kupang                  4827.0
Bayfront DTL         Promenade                258.0
                     Downtown                 285.0
                     Marina Bay               360.0
                     Chinatown DTL            557.5
                     Raffles Place            585.0
                     Dhoby Ghaut NEL         1280.0
                     Hillview                1624.0
                     Pasir Panjang           1810.0
                     Kembangan               1899.0
                     Bukit Batok             2632.0
                     Boon Lay                2774.0
                     Bayfront DTL            4287.5
Beauty World         King Albert Park         254.0
                     Hillview                 320.5
                     Sixth Avenue             390.0
                     Cashew                   502.0
                     Tan Kah Kee              530.0
                     Bukit Panjang DTL        562.0
                     Stevens                  713.5
                     Botanic Gardens CCL      793.0
                     Beauty World             815.0
                     Newton DTL               938.0
                     Little India DTL        1015.0
                     Farrer Road             1038.5
                     Rochor                  1130.0
                     Little India NEL        1151.0
                     Caldecott               1154.0
                     Buona Vista CCL         1233.0
                     Bugis DTL               1246.0
                     Marymount               1310.5
                     Dhoby Ghaut NSEW        1355.0
                     one-north               1416.0
                     Farrer Park             1424.0
                     Promenade               1428.0
                     Bishan CCL              1518.5
                     Bayfront CCL            1526.0
                     Dhoby Ghaut NEL         1528.0
                     Clarke Quay             1535.5
                     Bugis NSEW              1550.5
                     Kent Ridge              1575.0
                     Boon Keng               1599.5
                     Downtown                1637.0
                     Nicoll Highway          1646.0
                     Bishan NSEW             1650.0
                     City Hall               1661.0
                     Stadium                 1707.0
                     Potong Pasir            1710.0
                     Telok Ayer              1713.5
                     Lavender                1744.0
                     Kallang                 1771.0
                     Serangoon CCL           1792.0
                     Chinatown NEL           1792.5
                     Chinatown DTL           1826.0
                     Ang Mo Kio              1836.0
                     Raffles Place           1845.0
                     Labrador Park           1894.0
                     Outram Park NEL         1895.0
                     Bras Basah              1917.0
                     Kovan                   1957.0
                     Aljunied                1964.0
                     HarbourFront NEL        1988.0
                     Tanjong Pagar           1997.0
                     Tai Seng                2064.0
                     Paya Lebar NSEW         2081.0
                     Tiong Bahru             2088.0
                     Hougang                 2136.0
                     HarbourFront CCL        2150.0
                     Paya Lebar CCL          2174.0
                     MacPherson CCL          2214.0
                     Kembangan               2293.0
                     Redhill                 2336.0
                     Buangkok                2539.0
